layer,group_1,group_2,mean_delta_cosine
28,helpful_over,helpful_under,1.0
28,helpful_over,harmful,0.9999998211860657
28,helpful_over,correct_to_correct,0.9999991059303284
28,helpful_over,wrong_to_wrong,1.0
28,helpful_under,harmful,0.9999988675117493
28,helpful_under,correct_to_correct,0.9999988675117493
28,helpful_under,wrong_to_wrong,1.0
28,harmful,correct_to_correct,0.9999995231628418
28,harmful,wrong_to_wrong,0.9999988675117493
28,correct_to_correct,wrong_to_wrong,1.0
29,helpful_over,helpful_under,0.9993823766708374
29,helpful_over,harmful,0.9999231100082397
29,helpful_over,correct_to_correct,0.9995661973953247
29,helpful_over,wrong_to_wrong,0.9998992681503296
29,helpful_under,harmful,0.9997068047523499
29,helpful_under,correct_to_correct,0.9983210563659668
29,helpful_under,wrong_to_wrong,0.9992468357086182
29,harmful,correct_to_correct,0.9992635250091553
29,harmful,wrong_to_wrong,0.99980628490448
29,correct_to_correct,wrong_to_wrong,0.9997786283493042
30,helpful_over,helpful_under,0.9978501796722412
30,helpful_over,harmful,0.9997496008872986
30,helpful_over,correct_to_correct,0.9987990856170654
30,helpful_over,wrong_to_wrong,0.999745786190033
30,helpful_under,harmful,0.998970627784729
30,helpful_under,correct_to_correct,0.9947352409362793
30,helpful_under,wrong_to_wrong,0.997616708278656
30,harmful,correct_to_correct,0.997868537902832
30,harmful,wrong_to_wrong,0.9994760155677795
30,correct_to_correct,wrong_to_wrong,0.9993358850479126
31,helpful_over,helpful_under,0.9961938858032227
31,helpful_over,harmful,0.9995701313018799
31,helpful_over,correct_to_correct,0.9980034828186035
31,helpful_over,wrong_to_wrong,0.9996688365936279
31,helpful_under,harmful,0.9981531500816345
31,helpful_under,correct_to_correct,0.9905850887298584
31,helpful_under,wrong_to_wrong,0.9956631064414978
31,harmful,correct_to_correct,0.996306836605072
31,harmful,wrong_to_wrong,0.9991429448127747
31,correct_to_correct,wrong_to_wrong,0.9988709092140198
32,helpful_over,helpful_under,0.9954927563667297
32,helpful_over,harmful,0.999467670917511
32,helpful_over,correct_to_correct,0.9974265098571777
32,helpful_over,wrong_to_wrong,0.9995251893997192
32,helpful_under,harmful,0.9978289604187012
32,helpful_under,correct_to_correct,0.9887810349464417
32,helpful_under,wrong_to_wrong,0.9948264956474304
32,harmful,correct_to_correct,0.9954040050506592
32,harmful,wrong_to_wrong,0.9988756775856018
32,correct_to_correct,wrong_to_wrong,0.9986543655395508
33,helpful_over,helpful_under,0.994679868221283
33,helpful_over,harmful,0.9993298649787903
33,helpful_over,correct_to_correct,0.996231198310852
33,helpful_over,wrong_to_wrong,0.9992766380310059
33,helpful_under,harmful,0.9974448680877686
33,helpful_under,correct_to_correct,0.9859861135482788
33,helpful_under,wrong_to_wrong,0.9936349987983704
33,harmful,correct_to_correct,0.9936113953590393
33,harmful,wrong_to_wrong,0.9983673691749573
33,correct_to_correct,wrong_to_wrong,0.9982301592826843
34,helpful_over,helpful_under,0.9950184226036072
34,helpful_over,harmful,0.9993293881416321
34,helpful_over,correct_to_correct,0.9961556196212769
34,helpful_over,wrong_to_wrong,0.9992331862449646
34,helpful_under,harmful,0.9976354241371155
34,helpful_under,correct_to_correct,0.9864916801452637
34,helpful_under,wrong_to_wrong,0.9939649105072021
34,harmful,correct_to_correct,0.9935746788978577
34,harmful,wrong_to_wrong,0.998306155204773
34,correct_to_correct,wrong_to_wrong,0.9982384443283081
35,helpful_over,helpful_under,0.9945317506790161
35,helpful_over,harmful,0.999374270439148
35,helpful_over,correct_to_correct,0.9951153993606567
35,helpful_over,wrong_to_wrong,0.9989081025123596
35,helpful_under,harmful,0.9968929886817932
35,helpful_under,correct_to_correct,0.9861297011375427
35,helpful_under,wrong_to_wrong,0.993691623210907
35,harmful,correct_to_correct,0.9927510023117065
35,harmful,wrong_to_wrong,0.9980053305625916
35,correct_to_correct,wrong_to_wrong,0.9979442954063416
